20,20
-1,-1,-1,260,5,768,517,-1,259,257,257,259,-1,-1,-1,-1,260,-1,-1,-1
-1,-1,-1,260,-1,-1,-1,-1,259,259,259,259,-1,-1,-1,-1,260,-1,-1,-1
-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
0,768,512,260,-1,-1,264,-1,264,264,264,264,-1,264,-1,-1,260,8,768,518
-1,-1,-1,260,-1,-1,-1,264,-1,-1,-1,-1,264,-1,-1,-1,260,-1,-1,-1
-1,-1,-1,260,-1,-1,-1,264,-1,-1,-1,-1,264,-1,-1,-1,260,-1,-1,-1
7,768,520,260,-1,-1,264,-1,264,264,264,264,-1,264,-1,-1,260,8,768,514
-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
4,768,515,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,1,768,513
-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
0,768,519,260,261,261,261,261,261,261,261,261,261,261,261,261,260,6,768,518
-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
7,768,517,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
-1,-1,-1,260,-1,-1,-1,-1,-1,256,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,-1
